Lat,Lon,distance,distance [m]
55.69395,12.57824,4.386934833885761,4386.934833885762
55.69413,12.57842,4.409910044713811,4409.910044713812
55.69426,12.5785,4.42521017987682,4425.21017987682
55.69441,12.57854,4.442076771403109,4442.076771403109
55.69445,12.57858,4.447182361530819,4447.182361530819
55.69452,12.5787,4.458005577782184,4458.0055777821835
55.69457,12.57876,4.464717507466623,4464.717507466623
55.69485,12.57897,4.498519395917006,4498.519395917006
55.69501,12.57903,4.51670362290517,4516.70362290517
55.69514,12.57917,4.533613238368794,4533.613238368794
55.69534,12.57932,4.557757394783454,4557.757394783454
55.69565,12.57965,4.59795567455548,4597.95567455548
55.69574,12.57969,4.608272403300475,4608.272403300475
55.69578,12.57974,4.613713100598696,4613.713100598697
55.6959,12.57981,4.627759105005858,4627.759105005858
55.69609,12.57973,4.649472862439623,4649.472862439623
55.69616,12.57968,4.657863532562569,4657.863532562569
55.69622,12.57968,4.664535237376082,4664.5352373760825
55.69634,12.57958,4.679276962868105,4679.276962868105
55.69662,12.57945,4.711459777085736,4711.459777085736
55.69679,12.57931,4.732299662550191,4732.299662550191
55.69688,12.57929,4.742385396659473,4742.3853966594725
55.69703,12.57921,4.759801794783171,4759.801794783171
55.69722,12.57901,4.784366681395925,4784.366681395925
55.69728,12.579,4.791067751797598,4791.067751797598
55.69737,12.57895,4.801554345577755,4801.554345577755
55.69743,12.57896,4.808255415754545,4808.2554157545455
55.69752,12.57888,4.8194484347577315,4819.448434757732
55.6976,12.57886,4.828431896578674,4828.431896578673
55.69773,12.57877,4.843948514184402,4843.948514184402
55.69782,12.57874,4.854131117057885,4854.131117057885
55.69789,12.57867,4.863065711070951,4863.065711070951
55.69795,12.57865,4.869854112127775,4869.854112127775
55.69819,12.57838,4.901452406077251,4901.452406077251
55.69827,12.57833,4.91088367357073,4910.88367357073
55.69839,12.57821,4.926200075585408,4926.200075585408
55.69849,12.57819,4.9373899889302715,4937.389988930271
55.69856,12.57825,4.946034151773032,4946.034151773032
55.69865,12.57825,4.95604170899401,4956.04170899401
55.69871,12.57827,4.9628301055518715,4962.830105551871
55.69885,12.57819,4.979184675976731,4979.18467597673
55.69892,12.57811,4.98844296709715,4988.44296709715
55.69898,12.57807,4.995569978333498,4995.5699783334985
55.6991,12.57787,5.013876041756184,5013.876041756184
55.69908,12.57753,5.035297141590642,5035.297141590642
55.69908,12.57704,5.066001913191093,5066.001913191093
55.69893,12.57649,5.104290381781609,5104.290381781609
55.69892,12.57639,5.1106545792984175,5110.654579298417
55.69884,12.57619,5.126023329313279,5126.023329313279
55.69877,12.57609,5.136015932142031,5136.015932142031
55.69874,12.57599,5.14311486363228,5143.1148636322805
55.69848,12.57567,5.1782990361285846,5178.299036128585
55.69832,12.57542,5.2020045195366365,5202.0045195366365
55.69806,12.57494,5.243724607076838,5243.724607076838
55.69787,12.57469,5.270026337777396,5270.026337777396
55.69783,12.57459,5.277710847441548,5277.710847441548
55.69774,12.57451,5.288903848637274,5288.903848637274
55.6977,12.57442,5.29608652506298,5296.0865250629795
55.69751,12.57414,5.323549657271004,5323.5496572710035
55.69733,12.57374,5.355626415151837,5355.626415151837
55.69725,12.57362,5.367274608694404,5367.274608694404
55.69708,12.57323,5.398171663492324,5398.171663492324
55.69703,12.57315,5.40565790938997,5405.65790938997
55.69692,12.57294,5.423624307509251,5423.624307509252
55.69675,12.57242,5.4612967290716306,5461.296729071631
55.69654,12.57195,5.498883528636175,5498.8835286361755
55.69643,12.57164,5.521840172318654,5521.8401723186535
55.69625,12.57137,5.548048873261806,5548.048873261806
55.69605,12.57098,5.581092832682014,5581.092832682014
55.69599,12.57073,5.598121168553636,5598.1211685536355
55.69611,12.57054,5.616004674126971,5616.004674126972
55.69618,12.57047,5.6249393623565735,5624.939362356574
55.69643,12.56969,5.681171651535374,5681.171651535374
55.69652,12.56952,5.695788280120491,5695.7882801204905
55.69654,12.56943,5.701850916703471,5701.850916703471
55.69673,12.5692,5.727426244862424,5727.426244862424
55.6968,12.56897,5.743806978592097,5743.806978592097
55.69689,12.56878,5.759360712100575,5759.360712100575
55.69693,12.56865,5.768642431129729,5768.642431129729
55.69704,12.56844,5.786608826782882,5786.608826782883
55.69711,12.56841,5.794616299610923,5794.616299610923
55.6972,12.56834,5.805543035909138,5805.543035909138
55.69723,12.56826,5.81156472325517,5811.56472325517
55.69729,12.56815,5.821157858789516,5821.1578587895165
55.69742,12.56782,5.8463888873980245,5846.388887398025
55.69754,12.56767,5.8627107410862545,5862.7107410862545
55.69795,12.56735,5.912515967230125,5912.515967230125
55.69797,12.56725,5.9191653471047365,5919.165347104737
55.69805,12.5672,5.92859662045687,5928.5966204568695
55.6982,12.56694,5.951912938735327,5951.912938735327
55.69827,12.56686,5.961171274996078,5961.171274996078
55.69839,12.56667,5.979054318183128,5979.054318183128
55.69848,12.56647,5.995092442806523,5995.092442806523
55.69878,12.56605,6.037583194443447,6037.583194443447
55.69882,12.56598,6.043830089546084,6043.830089546084
55.69895,12.56583,6.06107269436022,6061.07269436022
55.69913,12.56546,6.091702109319318,6091.702109319318
55.69918,12.56543,6.097571079831291,6097.571079831291
55.69929,12.56529,6.11262331727562,6112.62331727562
55.69934,12.5652,6.120542670536263,6120.542670536263
55.69949,12.56479,6.1511735759339645,6151.1735759339645
55.69961,12.5646,6.169056371704305,6169.056371704305
55.69969,12.56458,6.178039824175544,6178.039824175544
55.69975,12.56461,6.184971309814157,6184.971309814157
55.69986,12.56475,6.200023472694687,6200.0234726946865
55.70012,12.56498,6.23232732146141,6232.32732146141
55.70025,12.56502,6.2469983709188055,6246.998370918805
55.70039,12.56498,6.262766166663014,6262.766166663014
55.70053,12.565,6.27838383994261,6278.38383994261
55.70061,12.56499,6.287301487965245,6287.3014879652455
55.70075,12.56493,6.303316352210051,6303.316352210051
55.70081,12.56493,6.309988057023564,6309.988057023565
55.70084,12.5649,6.313817098613869,6313.817098613869
